open,high,low,close,volume,number_of_trades,vol_ma,rsi,atr,rsi_lag1,vol_ma_lag1,price_roc,target
8761.87,8882.61,8757.72,8799.0,3293.666436,28655,2623.7121190999997,56.7287449392712,76.80785714285723,48.47560367689587,2925.86803835,0.22233663041546503,1
8798.96,8908.32,8600.0,8645.42,6301.489903,53459,2532.69761705,50.48732592285656,87.69071428571442,56.7287449392712,2623.7121190999997,-1.3570871118940842,0
8645.59,8728.72,8600.0,8633.0,3464.553173,29266,2565.19781565,47.09360150292855,91.42857142857143,50.48732592285656,2532.69761705,-1.4708047483014575,0
8693.2,8720.0,8510.63,8644.44,3702.15406,31741,1376.22124975,35.60991922621827,76.29785714285728,40.07933061177225,1364.3412054,-0.44546199983416246,0
8650.46,8790.0,8645.02,8731.19,2326.890689,23867,1396.7389606000002,46.493143505983184,82.04714285714297,34.800204918032804,1326.929874,0.5225770798314544,1
8643.82,8661.1,8525.0,8572.45,2344.945402,24152,1356.96832065,33.20889994963444,75.1771428571427,50.257098876625236,1282.8573576499998,-0.9614507022564278,0
8574.56,8588.06,8406.6,8454.28,3757.211345,36247,1492.2054460499999,24.68562115973333,85.35142857142831,33.20889994963444,1356.96832065,-2.194025171420866,0
8454.21,8543.98,8435.0,8503.77,2482.55037,18459,1550.41523935,34.123162696401636,88.17999999999977,24.68562115973333,1492.2054460499999,-1.6451519255702873,0
8634.64,8687.55,8618.3,8659.57,1799.435207,17186,1473.93779075,46.746366250443046,82.94214285714277,43.75312031952077,1454.9958054,1.3170703170703124,0
8640.0,8750.0,8624.32,8718.36,2574.704959,22556,1477.12191375,50.224148729274575,86.33714285714294,43.49038245640293,1464.7312002499998,0.6789020701951864,1
8718.52,8750.0,8674.97,8684.32,1891.715964,19679,1509.1805041,50.384418247052764,86.99142857142864,50.224148729274575,1477.12191375,0.7344855585198928,1
8672.08,8718.71,8550.81,8621.88,2341.437806,20799,1375.02378895,50.11819060921876,77.25571428571428,51.735803016858966,1445.8124659,-0.3941774491682204,0
8621.79,8622.36,8541.33,8592.23,1819.336789,16262,1341.8631099,43.762567571096554,80.23928571428574,50.11819060921876,1375.02378895,-0.6182278317032441,0
8593.35,8692.48,8584.6,8672.47,2003.998898,18922,1376.79392995,44.037317117538414,78.96785714285708,43.762567571096554,1341.8631099,0.004381873343084486,0
8677.94,8757.33,8677.03,8705.52,2401.006136,21484,1434.30412375,53.19271886737951,77.52142857142839,49.113106932360424,1385.1274828,1.3185168460341679,1
8713.56,8775.0,8705.04,8722.73,1934.113854,17843,1350.60661445,65.46900617434648,71.68785714285696,55.619937694704014,1348.48671995,0.2991936030981801,1
8705.42,8942.05,8705.42,8941.25,3753.997666,33767,1538.4390883,86.81159086193767,71.18428571428532,57.14513683874555,1377.40970435,2.610462967850924,0
